All_Word
artificial
intelligence
ai
is
demonstrated
by
machines
unlike
the
natural
displayed
humans
and
animals
which
involves
consciousness
emotionality
distinction
between
former
latter
categories
often
revealed
acronym
chosen
strong
usually
labelled
as
general
agi
while
attempts
to
emulate
have
been
called
biological
abi
leading
textbooks
define
field
study
of
intelligent
agents
any
device
that
perceives
its
environment
takes
actions
maximize
chance
successfully
achieving
goals
colloquially
term
used
describe
mimic
cognitive
functions
associate
with
human
mind
such
learning
problem
solving
become
increasingly
capable
tasks
considered
require
are
removed
from
definition
a
phenomenon
known
effect
quip
in
tesler
s
theorem
says
whatever
has
not
done
yet
for
instance
optical
character
recognition
frequently
excluded
things
be
having
routine
technology
modern
machine
capabilities
generally
classified
include
understanding
speech
competing
at
highest
level
strategic
game
systems
chess
go
also
imperfect
information
games
like
poker
self
driving
cars
routing
content
delivery
networks
military
simulations
was
founded
an
academic
discipline
years
since
experienced
several
waves
optimism
followed
disappointment
loss
funding
winter
new
approaches
success
renewed
after
alphago
defeated
professional
player
once
again
attracted
widespread
global
attention
most
history
research
divided
into
sub
fields
fail
communicate
each
other
these
based
on
technical
considerations
particular
e
g
robotics
or
use
tools
logic
neural
deep
philosophical
differences
social
factors
institutions
work
researchers
traditional
problems
reasoning
knowledge
representation
planning
language
processing
perception
ability
move
manipulate
objects
among
long
statistical
methods
computational
symbolic
many
including
versions
search
mathematical
optimization
statistics
probability
economics
draws
upon
computer
science
engineering
mathematics
psychology
linguistics
philosophy
assumption
can
so
precisely
described
made
simulate
it
this
raises
arguments
about
ethics
creating
beings
endowed
issues
explored
myth
fiction
antiquity
some
people
consider
danger
humanity
if
progresses
unabated
others
believe
previous
technological
revolutions
will
create
risk
mass
unemployment
twenty
first
century
techniques
resurgence
following
concurrent
advances
power
large
amounts
data
theoretical
essential
part
industry
helping
solve
challenging
software
operations
thought
appeared
storytelling
devices
common
mary
shelley
frankenstein
karel
apek
r
you
characters
their
fates
raised
same
now
discussed
mechanical
formal
began
philosophers
mathematicians
led
directly
alan
turing
theory
computation
suggested
shuffling
symbols
simple
could
conceivable
act
deduction
insight
digital
computers
process
church
thesis
along
discoveries
neurobiology
cybernetics
possibility
building
electronic
brain
proposed
changing
question
whether
possible
machinery
show
behaviour
recognized
mccullouch
pitts
design
complete
neurons
born
workshop
dartmouth
college
where
coined
john
mccarthy
distinguish
escape
influence
